pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,FC,91.6,0.25,0.43,2527,182,-2.39,5.79,6.7,1.22,1.37,R
660271,FF,98.2,1.4,-0.08,2328,206,-2.21,5.88,6.9,2.79,1.15,R
660271,SI,98.5,0.8,-1.04,2011,270,-2.1,5.93,6.8,1.08,1.17,R
660271,FF,99,1.33,-0.27,2326,209,-2.12,5.98,6.8,2.09,0.61,R
660271,FS,88.9,0.2,-0.31,1325,225,-2.03,6.13,6.6,2.44,-0.53,R
660271,SL,84.9,-0.11,1.42,2593,64,-2.36,5.77,6.8,2.34,1.61,R
660271,FC,91.7,0.39,0.49,2372,155,-2.47,5.84,6.6,2.37,0.47,L
660271,CU,76.6,-1.19,1.15,2460,43,-1.84,6.45,6.6,2.34,0.09,L
660271,SL,86.9,0.39,1.55,2573,71,-2.65,5.68,6.6,2.18,0.66,R
660271,FS,88.4,0.02,-0.5,1099,234,-1.91,6.2,6.6,2.81,-1.87,R
660271,SL,88.7,0.33,0.81,2519,70,-2.46,5.7,6.6,1.61,-0.37,R
660271,FF,97.6,1.18,-0.41,2357,203,-2.26,5.85,6.7,1.81,-0.19,R
660271,SL,86.5,0.14,1.44,2610,81,-2.69,5.66,6.7,3.32,-1.37,R
660271,SL,86.8,0.35,1,2511,84,-2.58,5.72,6.7,2.44,-0.65,R
660271,FF,98.6,1.25,-0.28,2189,210,-2.44,5.81,6.9,2.42,-0.92,L
660271,FC,92.5,0.31,0.49,2527,139,-2.58,5.75,6.6,2.88,-0.65,L
660271,FC,92.1,0.27,0.38,2388,164,-2.48,5.77,6.7,2.7,-0.29,L
660271,FF,98.5,1.02,-0.36,2196,213,-2.3,5.91,6.8,2.3,-0.87,L
660271,FC,92.3,0.28,0.51,2459,156,-2.69,5.74,6.6,2.46,-1.07,L
660271,FC,93.1,0.56,0.29,2414,166,-2.65,5.7,6.7,1.91,-0.1,L
